Source,Year,Month,Day,Time of Day,Station,Tide,Hooks,Species Code,Common Name,Latin name,Longline used,Fork length,Total length,Sex,Status,Notes
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,155,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,138,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,130,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,115,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,128,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,132,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,138,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,130,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,137,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,149,,U,DEAD,
UNC,1973,7,3,1200,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,152.4,,U,,
UNC,1973,7,3,1200,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,152.4,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1200,EW,E,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,105,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1200,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,121.9,,U,,
UNC,1973,7,13,930,EW,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,125,,U,,
UNC,1973,7,13,930,EW,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,110,,U,,
UNC,1973,7,13,930,EW,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,U,,
UNC,1973,7,13,930,EW,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,100,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,190,,U,DEAD,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,138,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,145,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,182.8,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,135,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,213.3,,U,,
UNC,1973,7,13,930,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,140,,U,,
UNC,1973,7,13,930,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,135,,U,,
UNC,1973,7,13,930,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,125,,U,DEAD,
UNC,1973,7,13,930,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,130,,U,DEAD,
UNC,1973,7,13,930,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,150,,U,,
UNC,1973,7,13,1300,NS,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,110,,U,,
UNC,1973,7,13,1300,NS,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,100,,U,,
UNC,1973,7,13,1300,NS,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,100,,U,,
UNC,1973,7,13,1300,NS,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,130,,U,,
UNC,1973,7,13,1300,NS,E,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,,,U,,1 LOST
UNC,1973,7,13,1300,NS,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,,,U,,1 LOST
UNC,1973,7,13,1300,NS,E,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,165,,U,,
UNC,1973,7,13,1300,NS,E,100,TIG,Tiger shark,Galeocerdo cuvier,Y,180,,U,,
UNC,1973,7,13,1300,NS,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,270,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,13,1300,NS,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,130,,U,,per F. Schwartz 9/18/06
UNC,1973,7,13,1300,NS,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,120,,U,,per F. Schwartz 9/18/06
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,131.5,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,134.5,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,107,,U,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,132,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,141.5,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,111.3,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,136,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,116.5,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,111.7,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,125,,F,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,123,,U,,
UNC,1973,8,20,900,EW,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,104,,M,,
UNC,1973,8,20,900,EW,F,85,SBK,Blacktip shark,Carcharhinus limbatus,Y,146,,M,,
UNC,1973,8,20,900,EW,F,85,SBK,Blacktip shark,Carcharhinus limbatus,Y,193.5,,F,,
UNC,1973,8,20,900,EW,F,85,SBK,Blacktip shark,Carcharhinus limbatus,Y,172,,F,,
UNC,1973,8,20,900,EW,F,85,SBK,Blacktip shark,Carcharhinus limbatus,Y,117,,U,,
UNC,1973,8,20,900,EW,F,85,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,45,,M,,
UNC,1973,8,20,900,EW,F,85,SPL,Scalloped hammerhead,Sphyrna lewini,Y,140,,F,,
UNC,1973,8,20,1130,NS,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,110,,M,,
UNC,1973,8,20,1130,NS,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,100,,F,,
UNC,1973,8,20,1130,NS,F,85,SBN,Blacknose shark,Carcharhinus acronotus,Y,105.5,,F,,
UNC,1973,8,20,1130,NS,F,85,SBU,Bull shark,Carcharhinus leucas,Y,236,,M,,~
UNC,1973,9,14,1140,NS,E,50,DUS,Dusky shark,Carcharhinus obscurus,Y,,,U,,7-8 feet  not tagged
UNC,1973,9,14,1140,NS,E,50,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,106,,F,,NOT TAGGED
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,103,,U,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,M,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,111,,M,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,130,,F,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,F,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,115,,F,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,130,,F,,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,123,,F,DEAD,
UNC,1973,10,3,900,EW,F,90,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,F,,
UNC,1973,10,3,900,EW,F,90,SBK,Blacktip shark,Carcharhinus limbatus,Y,165,,F,,
UNC,1973,10,3,900,EW,F,90,SBK,Blacktip shark,Carcharhinus limbatus,Y,123,,F,,
UNC,1973,10,3,900,EW,F,90,SBK,Blacktip shark,Carcharhinus limbatus,Y,,,F,,~ 8 FT  
UNC,1973,10,3,900,EW,F,90,DUS,Dusky shark,Carcharhinus obscurus,Y,170,,F,,
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,113,,M,DEAD,
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,133,,M,,NOT TAGGED
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,138,,M,,NOT TAGGED
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,140,,M,,
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,140,,M,DEAD,
UNC,1973,10,3,900,EW,F,90,SPL,Scalloped hammerhead,Sphyrna lewini,Y,169,,M,,
UNC,1973,10,3,1200,NS,F,70,SBN,Blacknose shark,Carcharhinus acronotus,Y,135,,F,,
UNC,1973,10,3,1200,NS,F,70,SBN,Blacknose shark,Carcharhinus acronotus,Y,107,,M,,
UNC,1973,10,3,1200,NS,F,70,SBN,Blacknose shark,Carcharhinus acronotus,Y,127,,M,,"50"""
UNC,1973,10,3,1200,NS,F,70,SBK,Blacktip shark,Carcharhinus limbatus,Y,150,,F,,
UNC,1973,10,3,1200,NS,F,70,SPL,Scalloped hammerhead,Sphyrna lewini,Y,212,,M,DEAD,"54""  "
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,110,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,112,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,120,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,116,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,110,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,100,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,100,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,105,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,101,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,110,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,130,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,119,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,115,,F,,
UNC,1974,4,18,915,EW,E,79,SDS,Smooth dogfish,Mustelus canis,Y,100,,F,,
UNC,1974,4,18,1145,NS,F,105,DUS,Dusky shark,Carcharhinus obscurus,Y,97,,M,,
UNC,1974,4,18,1145,NS,F,105,WSH,Great white,Carcharodon carcharias,Y,180.6,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,124,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,115.5,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,113.5,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,119,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,111,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,114,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,120,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,113,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,107,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,109,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,119,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,109,,M,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,108,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,,,U,,LOST
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,112.5,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,103,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,105,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,,,U,,LOST
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,112,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,111,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,110,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,120,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,108,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,109,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,110,,F,,
UNC,1974,4,18,1145,NS,F,105,SDS,Smooth dogfish,Mustelus canis,Y,115,,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,100,M,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,100,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,92,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,107,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,,U,,LOST  ~ 200
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,107.5,M,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,97,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,147,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,105,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,108,F,,
UNC,1974,5,9,930,EW,E,103,DUS,Dusky shark,Carcharhinus obscurus,Y,,201,F,,
UNC,1974,5,9,930,EW,E,103,SDS,Smooth dogfish,Mustelus canis,Y,,119,F,,
UNC,1974,5,9,930,EW,E,103,SDS,Smooth dogfish,Mustelus canis,Y,,115,F,,
UNC,1974,5,9,930,EW,E,103,SDS,Smooth dogfish,Mustelus canis,Y,,55,M,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,97,,F,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,103,,M,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,105,,M,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,94.5,,F,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,103,,F,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,105,,M,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,107,,F,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,102,,F,,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,111,,F,DEAD,
UNC,1974,5,9,1200,NS,E,101,DUS,Dusky shark,Carcharhinus obscurus,Y,103,,M,,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,106,,M,DEAD,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,103,,M,,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,128,,F,,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,104,,M,DEAD,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,147,,M,,
UNC,1974,5,23,1000,EW,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,123,,F,,
